"FIDE_ID","FullName","Master","FIDEName","Fed","Sex","Tit","WTit","OTit","FOA","SRtng","SGm","SK","RRtng","RGm","Rk","BRtng","BGm","BK","B-day","Flag","Country"
NA,"Vugar Gashimov","Gashimov, V",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2805677","Boris Gelfand","Gelfand, B","Gelfand, Boris","ISR","M","GM",NA,NA,NA,2668,0,10,2619,0,10,2604,0,10,1968,NA,"Israel"
NA,"Efim Geller","Geller, E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2900017","Kiril Georgiev","Georgiev, K","Georgiev, Kiril","MKD","M","GM",NA,NA,NA,2542,0,10,2605,11,10,2524,11,10,1965,NA,"FYR Macedonia"
"24116068","Anish Giri","Giri, A","Giri, Anish","NED","M","GM",NA,NA,NA,2775,9,10,2705,0,10,2760,0,10,1994,NA,"Netherlands"
NA,"Svetozar Gligoric","Gligoric, S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019540","Alexander Goldin","Goldin, A","Goldin, Alexander","USA","M","GM",NA,NA,NA,2542,0,10,NA,NA,NA,NA,NA,NA,1964,"i","United States of America"
"3800024","Julio Granda Zuniga","Granda Zuniga, J","Granda Zuniga, Julio E","PER","M","GM",NA,NA,NA,2628,0,10,2609,0,10,2624,0,10,1967,NA,"Peru"
"4126025","Alexander Grischuk","Grischuk, A","Grischuk, Alexander","RUS","M","GM",NA,NA,NA,2736,0,10,2716,0,10,2721,0,10,1983,NA,"Russia"
"2000040","Boris Gulko","Gulko, B","Gulko, Boris","USA","M","GM",NA,NA,NA,2542,0,10,2507,0,10,NA,NA,NA,1947,"i","United States of America"
NA,"Isidor Gunsberg","Gunsberg, I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2000407","Dmitry Gurevich","Gurevich, D","Gurevich, Dmitry","USA","M","GM",NA,NA,NA,2364,5,10,2427,0,10,2506,0,10,1956,NA,"United States of America"
"200930","Mikhail Gurevich","Gurevich, M","Gurevich, Mikhail","BEL","M","GM",NA,"FST",NA,2553,0,10,2562,0,10,2610,0,10,1959,NA,"Belgium"
"5007003","Pentala Harikrishna","Harikrishna, P","Harikrishna, Pentala","IND","M","GM",NA,NA,NA,2708,7,10,2630,0,10,2634,0,10,1986,NA,"India"
"4600029","Vlastimil Hort","Hort, V","Hort, Vlastimil","GER","M","GM",NA,NA,NA,2325,0,10,2457,0,10,2364,0,10,1944,NA,"Germany"
